current_token,next_token,probability_of_next_token,prompt_id,token_position
9,0,1.0,1,39
9,0,1.0,1,125
 diagon,als,1.0,1,209
 dealing, with,1.0,3,69
 this, case,1.0,3,85
9,0,1.0,5,193
0,0,1.0,8,87
6,0,1.0,8,112
2,.,1.0,9,50
4,.,1.0,9,80
"
",-,1.0,10,60
 diagon,als,1.0,13,14
8,0,1.0,13,79
 number, of,1.0,13,87
 diagon,als,1.0,13,99
 do, with,1.0,13,146
Next,",",1.0,14,59
Finally,",",1.0,14,96
 ,0,1.0,15,44
text,{,1.0,16,214
Therefore,",",1.0,18,113
Step, ,1.0,19,235
 ,2,1.0,19,236
Next,",",1.0,21,31
Finally,",",1.0,21,155
 ,3,1.0,22,20
 dealing, with,1.0,22,58
 dealing, with,1.0,24,90
 is, the,1.0,26,25
 such, that,1.0,28,196
4,",",1.0,29,62
0,.,1.0,30,58
8,0,1.0,31,202
 an, element,1.0,34,116
 need, to,1.0,36,7
Next,",",1.0,36,28
 consists, of,1.0,36,32
 number, of,1.0,36,53
9,0,1.0,37,46
 \,),1.0,39,114
"
",\,1.0,40,194
 greater, than,1.0,40,206
"
",\,1.0,43,142
., **,1.0,45,135
mod,{,1.0,46,120
mod,{,1.0,46,148
 a,ces,1.0,47,193
Next,",",1.0,49,80
 resulting, in,1.0,49,117
Finally,",",1.0,49,141
0,0,1.0,51,51
Next,",",1.0,51,69
0,0,1.0,51,147
Finally,",",1.0,51,151
1,.,1.0,51,163
0,0,1.0,51,179
Next,",",1.0,54,123
 ,5,1.0,56,17
 ,1,1.0,56,20
1,1,1.0,56,21
 case,",",1.0,56,66
Therefore,",",1.0,58,122
Next,",",1.0,60,29
0,0,1.0,60,66
0,0,1.0,60,78
0,0,1.0,60,89
0,0,1.0,60,108
0,0,1.0,60,158
0,0,1.0,60,174
0,0,1.0,60,198
0,0,1.0,60,205
0,0,1.0,60,221
Finally,",",1.0,60,232
Next,",",1.0,63,37
1,9,1.0,63,192
7,0,1.0,63,194
"
",\,1.0,63,222
 looks, like,1.0,64,74
"
",\,1.0,64,229
 length, of,1.0,68,17
9,0,1.0,68,83
 of, the,1.0,70,16
Next,",",1.0,70,73
")
",\,1.0,70,133
Next,",",1.0,71,60
2,.,1.0,71,201
., **,1.0,71,202
 need, to,1.0,72,7
Next,",",1.0,72,58
4,.,1.0,72,207
 numerator, and,1.0,73,74
 need, to,1.0,74,7
Therefore,",",1.0,74,184
 need, to,1.0,75,13
Next,",",1.0,76,23
Finally,",",1.0,76,67
Thus,",",1.0,79,102
2,.,1.0,79,210
 into, the,1.0,80,100
"
",\,1.0,80,119
