current_token,next_token,entropy,prompt_id,token_position
Finally,",",1.6976970940163483e-08,51,174
 that,",",2.0688473156837972e-08,87,87
 number, of,2.271650423324445e-08,36,39
Finally,",",2.457247383347294e-08,83,142
 ,1,2.6293019317336075e-08,56,134
Finally,",",2.6316415713267816e-08,95,74
Finally,",",2.8489514747320754e-08,87,111
Finally,",",3.306499607447222e-08,100,157
Finally,",",3.9602600310217895e-08,44,98
 of, the,4.9809784741228214e-08,56,40
 resulting, in,5.37200257610948e-08,22,87
 ,0,5.388800872196953e-08,15,36
Therefore,",",5.465463459586317e-08,36,88
Next,",",5.496901778201391e-08,95,32
Next,",",6.12709101233122e-08,8,135
Next,",",6.130351692945624e-08,56,78
Next,",",6.18796960338841e-08,71,55
 number, of,6.89318824242946e-08,36,92
Next,",",7.081936814756773e-08,19,73
 need, to,8.0054853413003e-08,95,7
Finally,",",8.102794879505382e-08,49,92
 ,0,9.679532553263925e-08,91,26
 need, to,9.955966362440449e-08,36,7
Next,",",1.0099306280153542e-07,83,22
 ,0,1.0494583335685093e-07,97,30
 case,",",1.0979799469623686e-07,35,81
Finally,",",1.125404622825954e-07,8,234
ilater,als,1.1329141358373818e-07,13,63
 diagon,als,1.164226475225405e-07,13,15
 need, to,1.1688990042557634e-07,72,7
 is, the,1.2476077415612963e-07,26,25
 of, the,1.2786603065251256e-07,8,103
Next,",",1.306915038412626e-07,85,99
Next,",",1.4673943837806291e-07,63,34
Next,",",1.5448840429144184e-07,25,75
., **,1.5791346186233568e-07,36,164
6,}{,1.6474059805204888e-07,56,232
6,0,1.6889769938188692e-07,8,125
0,0,1.7373450589275308e-07,51,49
Next,",",1.8060022455301805e-07,49,69
0,0,1.812489216490576e-07,63,201
 diagon,als,1.8181222571911348e-07,13,93
 solve, for,1.9484788538193243e-07,77,115
Therefore,",",2.0134955036610336e-07,58,113
Finally,",",2.0407456702287163e-07,60,164
 count,erc,2.0659136623635277e-07,1,165
 case,",",2.3532835768946825e-07,52,104
 equivalent, to,2.3759665168654465e-07,95,63
"
",\,2.382906956199804e-07,77,111
  , -,2.3911562152534316e-07,36,152
 a,ces,2.411048001249583e-07,47,101
Next,",",2.42868907207594e-07,58,79
Next,",",2.4647158625157317e-07,27,65
 case,",",2.515461119401152e-07,43,132
Finally,",",2.519956581181759e-07,27,150
 case,",",2.5435539896534465e-07,37,75
 calls, for,2.555616447352804e-07,95,20
0,0,2.6059680635626137e-07,51,212
 words,",",2.617304630803119e-07,9,251
 terms, of,2.7694196091943013e-07,85,251
Similarly,",",2.871196613796201e-07,69,54
Next,",",2.895714885653433e-07,98,56
 need, to,2.905310623191326e-07,75,13
 results, in,2.923253816788929e-07,14,118
0,0,2.9301054382813163e-07,8,126
 need, to,2.9804485279782966e-07,14,7
Next,",",3.1097687269721064e-07,21,31
 of, the,3.116287814464158e-07,77,163
Next,",",3.1240375619745464e-07,92,130
Next,",",3.1346718287750264e-07,100,61
Finally,",",3.1436701419806923e-07,25,137
0,0,3.374160257862968e-07,60,105
Next,",",3.391595271295955e-07,88,27
Therefore,",",3.397063892407459e-07,22,93
 \,),3.624435578331031e-07,8,39
Next,",",3.632426057720295e-07,44,40
  , -,3.705805227127712e-07,77,228
0,0,3.7249347428769397e-07,51,156
Next,",",3.732218942786858e-07,46,100
2, -,3.8212675690374454e-07,25,233
Next,",",3.854960084481718e-07,54,191
., **,3.873400942211447e-07,58,174
 number, of,3.917766662198119e-07,87,150
4,.,3.939878752134973e-07,72,251
Finally,",",3.967491579714988e-07,96,118
 Therefore,",",4.042285297600756e-07,19,101
Therefore,",",4.136663847020827e-07,25,154
Next,",",4.180323287528154e-07,87,27
Next,",",4.2193960325676017e-07,60,29
1,1,4.237384700900293e-07,56,135
 diagon,als,4.3275767325212655e-07,13,106
 number, of,4.363575669685815e-07,36,144
2,x,4.38623061427279e-07,56,189
Next,",",4.4789143771595263e-07,51,68
 a,ces,4.6830257360852556e-07,47,216
 equal, to,4.717952322152996e-07,16,147
3,0,4.792376557816169e-07,72,243
 ,0,4.804159061677638e-07,91,180
3,.,4.966701681041741e-07,29,220
0,0,5.032870831200853e-07,95,233
