current_token,next_token,entropy,prompt_id,token_position
 that, each,3.8599135875701904,84,161
 a, standard,3.79235577583313,67,75
 specifying, otherwise,3.644700288772583,92,85
't, stop,3.618844747543335,6,254
 you, take,3.5602331161499023,66,190
 with, classical,3.4842936992645264,92,56
 just, written,3.443060874938965,11,75
 it, confusing,3.3995959758758545,47,240
 or, something,3.3841803073883057,38,208
",", hold,3.3700859546661377,100,236
's, better,3.3509368896484375,38,162
's, like,3.3302037715911865,13,213
 inequality, might,3.2944650650024414,66,214
 or, something,3.2908682823181152,84,183
",", there,3.28788685798645,9,103
 like, distributing,3.2808263301849365,81,174
",", especially,3.2719197273254395,66,207
 so, technically,3.2505087852478027,11,252
",", when,3.2361743450164795,11,229
",", the,3.230307102203369,100,239
 with, integers,3.199345111846924,40,92
 maybe, consider,3.1956472396850586,2,117
 exponent, would,3.1884398460388184,32,194
 without, exceeding,3.185455322265625,96,161
't, exactly,3.1796488761901855,20,198
 many, questions,3.177568197250366,92,80
 Because, once,3.1729776859283447,2,222
 without, getting,3.1513195037841797,97,160
".

",The,3.1498405933380127,22,64
 or, something,3.148120880126953,68,111
",", even,3.1278302669525146,66,179
 be, equal,3.125307321548462,11,139
",", there,3.121521472930908,75,138
 we, think,3.1206438541412354,47,251
 to, refresh,3.1200809478759766,81,123
're, looking,3.118795156478882,4,142
 the, surface,3.1163361072540283,62,177
",", since,3.10949444770813,24,129
 but, the,3.1003732681274414,2,169
 of, algebra,3.096675395965576,66,237
 no, mention,3.0943398475646973,9,106
",", let,3.089214563369751,88,126
",", actually,3.088621139526367,13,106
",", actually,3.0861833095550537,42,211
 but, just,3.0847909450531006,1,150
").

",By,3.0676381587982178,22,94
 you, re,3.0656585693359375,2,191
's, okay,3.061110258102417,79,239
 about, rewriting,3.0543642044067383,97,173
.," 

",3.0487873554229736,68,176
 The, key,3.0287327766418457,62,227
 multiplying, them,3.026482343673706,97,136
 can, break,3.0215065479278564,82,158
., Is,2.9947943687438965,32,181
're, asking,2.9924588203430176,84,197
 but, since,2.9885613918304443,35,208
 I, list,2.9881045818328857,54,121
".

",The,2.9783709049224854,21,196
—,probability,2.9768242835998535,4,179
 it, doesn,2.974710464477539,88,155
",", I,2.9679465293884277,66,241
 any, specific,2.9651577472686768,9,109
",", hold,2.9648914337158203,32,178
're, applying,2.9569718837738037,38,177
 the, total,2.9494357109069824,82,148
",", they,2.939160108566284,68,138
 but, I,2.9263100624084473,64,193
's, squared,2.921823024749756,38,156
",", how,2.9205169677734375,84,190
 But, without,2.9181549549102783,62,243
 Maybe, there,2.9179587364196777,38,197
",", combining,2.9087371826171875,82,47
",", diagon,2.9078471660614014,13,229
., So,2.9076931476593018,82,207
 combination, like,2.9063754081726074,100,255
 implications, without,2.903111219406128,92,83
 but, since,2.902994394302368,38,153
 involve, previous,2.9004557132720947,54,110
 not, necessarily,2.898763418197632,81,211
"]

",To,2.898137092590332,23,95
?, Maybe,2.8976027965545654,38,196
're, often,2.8966422080993652,55,92
 then, each,2.896275281906128,11,149
 I, split,2.8858776092529297,64,220
 the, resulting,2.879211902618408,21,211
?, No,2.874375104904175,99,227
 Because, when,2.870917797088623,68,202
 is, true,2.8705146312713623,7,91
",", essentially,2.867349624633789,4,138
",", okay,2.8670194149017334,81,231
",", if,2.866415500640869,73,175
",", isn,2.863522529602051,47,237
:, when,2.8632900714874268,66,200
 I, start,2.8624157905578613,28,87
?, So,2.861420154571533,15,144
., Maybe,2.860170602798462,82,155
 previous, lessons,2.8542373180389404,48,65
 but, how,2.8539843559265137,6,160
 it, could,2.85384202003479,13,81
 could, add,2.850762367248535,64,159
