current_token,next_token,entropy,prompt_id,token_position
Finally,",",9.003477074998045e-09,21,98
 results, in,1.821102557642007e-08,56,72
Finally,",",2.8649777661371445e-08,51,194
 Therefore,",",4.511319318112328e-08,51,123
Finally,",",4.559210964316662e-08,27,115
 ,1,4.606580361610213e-08,56,96
Next,",",5.175294148784815e-08,71,55
Therefore,",",5.245295753297796e-08,22,124
Next,",",5.3400611932374886e-08,95,32
Next,",",5.377266631967359e-08,56,55
Finally,",",5.460188035044666e-08,96,100
 of, the,6.740776115066183e-08,56,19
Finally,",",6.849811740039513e-08,79,81
., **,6.880650715856973e-08,79,159
 equal, to,7.258591239178713e-08,95,75
 number, of,7.305320792738712e-08,36,38
Therefore,",",7.564629811440682e-08,95,133
 diagon,als,8.821258035141e-08,13,14
 case,",",1.0902852665140017e-07,46,86
Next,",",1.1081768036547146e-07,79,47
 case,",",1.1118249432229277e-07,23,67
Next,",",1.238411897475089e-07,80,53
0,0,1.2631124945983174e-07,95,81
Next,",",1.2808523308649455e-07,22,33
 of, the,1.3020095934734854e-07,8,100
2,.,1.3475606408519525e-07,52,129
 need, to,1.4098181111421582e-07,95,7
 ,0,1.4113179247488006e-07,91,26
Next,",",1.429241223149802e-07,63,35
 resulting, in,1.613641131825716e-07,21,90
 need, to,1.653603050044694e-07,36,7
Next,",",1.660059751884546e-07,72,62
 needs, to,1.68448963222545e-07,58,128
Next,",",1.690288371491988e-07,49,75
0,0,1.762744830102747e-07,51,222
0,0,1.8615911301367305e-07,51,51
 is, the,1.8697366499509371e-07,26,25
 need, to,1.8809781465733977e-07,56,7
 , -,1.9525546690601914e-07,93,93
Next,",",2.061608199710463e-07,21,31
6,0,2.1042373532509373e-07,8,238
 need, to,2.2296634938356874e-07,72,7
Next,",",2.2430583612731425e-07,100,57
 number, of,2.6578240408525744e-07,79,111
 calls, for,2.9009603963459085e-07,95,20
0,0,2.9217531505310035e-07,51,190
3,.,2.9513003596548515e-07,76,244
 resulting, in,2.9670553658434073e-07,63,76
ilater,als,3.111782120868156e-07,13,151
Next,",",3.25057726513478e-07,60,38
 a,ces,3.331038556098065e-07,47,96
 Additionally,",",3.489568030090595e-07,19,70
 ,0,3.492523887871357e-07,91,117
 Therefore,",",3.5310128509991046e-07,36,82
Next,",",3.62023172328918e-07,76,25
 number, of,3.6342521525511984e-07,71,72
 need, to,3.6821001003772835e-07,75,13
 diagon,als,3.7239323091853294e-07,13,129
ilater,als,3.798362797624577e-07,13,99
 need, to,4.129213380110741e-07,14,7
Therefore,",",4.3500446622601885e-07,99,222
6,0,4.47814926474166e-07,8,123
., **,4.482416784412635e-07,36,145
0,0,4.534381616849714e-07,8,239
1,1,4.586181603372097e-07,56,97
., **,4.60508232436041e-07,36,167
Therefore,",",4.670194186928711e-07,58,121
 based, on,4.7337724140561477e-07,80,254
0,0,4.951078267367848e-07,63,204
., **,4.957975647812418e-07,72,243
0,0,5.106128355691908e-07,51,108
0,0,5.211139182392799e-07,60,242
 \,),5.26148824064876e-07,8,39
 needs, to,5.36211302915035e-07,71,98
., **,5.416700332716573e-07,58,192
2,x,5.485651968228922e-07,56,153
8,0,5.495967911883781e-07,49,238
 However,",",5.786290557807661e-07,96,197
Next,",",6.21447043158696e-07,51,83
 need, to,6.341458060887817e-07,79,7
6,}{,6.344149028336687e-07,56,196
0,.,6.828464620411978e-07,51,112
 case,",",6.839615025455714e-07,50,95
7,0,6.886918413329113e-07,63,157
0,0,6.904920155648142e-07,60,224
 number, of,6.933089480298804e-07,99,244
Finally,",",7.025323611742351e-07,76,74
 ,0,7.336570888583083e-07,15,44
 case,",",7.66089613080112e-07,18,90
 example,",",7.665161660952435e-07,74,109
 dealing, with,7.696593797845708e-07,24,84
4,.,7.72576754570764e-07,9,92
 Py,thag,8.037925454118522e-07,33,104
0,0,8.191252049982722e-07,60,233
 ,5,8.484934710395464e-07,56,93
 \,times,8.524180543645343e-07,100,44
Next,",",8.538525548829057e-07,27,68
8,0,8.689394235261716e-07,49,249
 such, that,8.711245413905999e-07,46,24
0,0,8.725891120775486e-07,8,124
