current_token,next_token,entropy,prompt_id,token_position
 a, way,3.947490692138672,67,100
 a, truncated,3.8237669467926025,82,125
're, squares,3.528280735015869,68,82
 to, clarify,3.5028343200683594,31,227
 a, molecule,3.41115140914917,82,86
 the, standard,3.397400379180908,7,118
 the, distance,3.376075506210327,1,229
 involving, independent,3.364556312561035,42,72
 of, transformation,3.355276107788086,9,128
 function, decrease,3.3316659927368164,9,238
 is, w,3.324409246444702,37,124
",", how,3.2857367992401123,2,116
 a, specific,3.2713918685913086,82,95
 involving, non,3.25563383102417,7,123
 usually, considered,3.2473843097686768,74,158
 involve, finding,3.229470729827881,97,211
 a, soccer,3.2248482704162598,82,121
 to, un,3.1998770236968994,62,186
 to, time,3.1514647006988525,67,92
 a, cage,3.13490629196167,82,109
 the, orientation,3.103461503982544,1,196
 or, atan,3.103149890899658,57,128
 or, even,3.0935471057891846,94,118
",", essentially,3.091066837310791,82,115
 sometimes, finding,3.07216477394104,15,68
 sometimes, it,3.06313419342041,64,83
 even, derive,3.0532500743865967,94,119
 I, were,3.051666736602783,86,243
 or, algebra,3.0202953815460205,52,124
 they, structure,3.0089571475982666,67,102
 discard, reduces,2.99592924118042,2,199
",", how,2.9950716495513916,42,231
 evolving, as,2.9771528244018555,48,180
",", say,2.956385374069214,47,148
 can, divide,2.9557745456695557,73,120
",", let,2.9537124633789062,30,135
 rings, aggregate,2.9462029933929443,82,227
",", does,2.945796251296997,9,193
 are, usually,2.940558433532715,37,133
 with, rates,2.9355239868164062,79,72
"]
",But,2.9346885681152344,66,175
 that, possible,2.919985771179199,30,234
:**, This,2.9149742126464844,82,145
 to, manipulate,2.9146578311920166,97,117
 of, evolving,2.911952018737793,48,179
 the, likelihood,2.907888412475586,93,135
 some, other,2.906132459640503,7,114
 of, summ,2.8972995281219482,64,91
" """,schedule,2.88725209236145,53,219
",", not,2.882840633392334,68,97
",", is,2.882354259490967,30,232
 but, each,2.8787167072296143,67,233
 to, consider,2.8727540969848633,31,183
 enough, people,2.8690216541290283,53,177
 considered, as,2.8666763305664062,74,159
 one, makes,2.8562633991241455,9,44
 about, dividing,2.8518548011779785,59,162
 especially, polynomial,2.846569061279297,24,87
 are, sol,2.8373310565948486,37,63
",", they,2.833651542663574,42,222
 can, recall,2.8301844596862793,31,85
 subtraction, brings,2.8295693397521973,50,250
 are, perpendicular,2.8160276412963867,78,199
 row, usually,2.814929485321045,74,157
 would, mean,2.8123252391815186,2,215
",", when,2.8113255500793457,1,99
 about," """,2.7989070415496826,82,74
 the, formal,2.7967112064361572,65,76
—,each,2.7952232360839844,82,98
 since, being,2.7911033630371094,35,172
",", raising,2.789158344268799,32,167
",", does,2.786029577255249,31,157
",", ||,2.7857086658477783,5,195
 consider, something,2.777045488357544,31,184
",", let,2.7719836235046387,4,92
",", interesting,2.7709903717041016,11,192
",", actually,2.7659108638763428,42,240
 The, tricky,2.7588071823120117,74,48
., In,2.7563421726226807,55,127
 the, smaller,2.7551400661468506,78,108
 with, independence,2.752561569213867,42,153
 can, think,2.750900983810425,38,186
 by, recalling,2.750647783279419,66,42
 to, use,2.745500326156616,7,109
'll, subtract,2.744330644607544,85,102
 to, reflections,2.7359726428985596,9,123
",", then,2.7357401847839355,47,206
",", does,2.735246419906616,67,171
",", let,2.7325429916381836,75,162
 can, focus,2.722189426422119,65,254
 but, shifted,2.7206783294677734,1,94
 but, then,2.7175140380859375,53,227
., If,2.7169713973999023,48,250
 might, get,2.716423988342285,33,242
 especially, linear,2.715127468109131,9,73
., If,2.7147321701049805,9,176
 it, overlaps,2.707714319229126,1,88
 some, rule,2.7067501544952393,48,113
 or, connection,2.704791307449341,11,110
 all, linear,2.6969714164733887,11,70
